Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent,Code
Thailand,2020-02-03,19,0,5,Asia,THA
United Kingdom,2020-02-03,2,0,0,Europe,GBR
United Arab Emirates,2020-02-03,5,0,0,Asia,ARE
United States,2020-02-03,11,0,0,Americas,USA
Vietnam,2020-02-03,8,0,1,Asia,VNM
Australia,2020-02-04,13,0,2,Oceania,AUS
Belgium,2020-02-04,1,0,0,Europe,BEL
Cambodia,2020-02-04,1,0,0,Asia,KHM
Canada,2020-02-04,4,0,0,Americas,CAN
Finland,2020-02-04,1,0,0,Europe,FIN
France,2020-02-04,6,0,0,Europe,FRA
Germany,2020-02-04,12,0,0,Europe,DEU
Hong Kong SAR China,2020-02-04,17,1,0,Asia,HKG
India,2020-02-04,3,0,0,Asia,IND
Italy,2020-02-04,2,0,0,Europe,ITA
Japan,2020-02-04,22,0,1,Asia,JPN
Macao SAR China,2020-02-04,10,0,0,Asia,MAC
China,2020-02-04,23680,490,843,Asia,CHN
Malaysia,2020-02-04,10,0,0,Asia,MYS
Nepal,2020-02-04,1,0,0,Asia,NPL
Philippines,2020-02-04,2,1,0,Asia,PHL
Russia,2020-02-04,2,0,0,Europe,RUS
Singapore,2020-02-04,24,0,0,Asia,SGP
South Korea,2020-02-04,16,0,0,Asia,KOR
Spain,2020-02-04,1,0,0,Europe,ESP
Sri Lanka,2020-02-04,1,0,0,Asia,LKA
Sweden,2020-02-04,1,0,0,Europe,SWE
Taiwan,2020-02-04,11,0,0,Asia,TWN
Thailand,2020-02-04,25,0,5,Asia,THA
United Kingdom,2020-02-04,2,0,0,Europe,GBR
United Arab Emirates,2020-02-04,5,0,0,Asia,ARE
United States,2020-02-04,11,0,0,Americas,USA
Vietnam,2020-02-04,8,0,1,Asia,VNM
Australia,2020-02-05,13,0,2,Oceania,AUS
Belgium,2020-02-05,1,0,0,Europe,BEL
Cambodia,2020-02-05,1,0,0,Asia,KHM
Canada,2020-02-05,5,0,0,Americas,CAN
Finland,2020-02-05,1,0,0,Europe,FIN
France,2020-02-05,6,0,0,Europe,FRA
Germany,2020-02-05,12,0,0,Europe,DEU
Hong Kong SAR China,2020-02-05,21,1,0,Asia,HKG
India,2020-02-05,3,0,0,Asia,IND
Italy,2020-02-05,2,0,0,Europe,ITA
Japan,2020-02-05,22,0,1,Asia,JPN
Macao SAR China,2020-02-05,10,0,0,Asia,MAC
China,2020-02-05,27409,562,1115,Asia,CHN
Malaysia,2020-02-05,12,0,0,Asia,MYS
Nepal,2020-02-05,1,0,0,Asia,NPL
Philippines,2020-02-05,2,1,0,Asia,PHL
Russia,2020-02-05,2,0,0,Europe,RUS
Singapore,2020-02-05,28,0,0,Asia,SGP
South Korea,2020-02-05,19,0,0,Asia,KOR
Spain,2020-02-05,1,0,0,Europe,ESP
Sri Lanka,2020-02-05,1,0,0,Asia,LKA
Sweden,2020-02-05,1,0,0,Europe,SWE
Taiwan,2020-02-05,11,0,0,Asia,TWN
Thailand,2020-02-05,25,0,5,Asia,THA
United Kingdom,2020-02-05,2,0,0,Europe,GBR
United Arab Emirates,2020-02-05,5,0,0,Asia,ARE
United States,2020-02-05,12,0,0,Americas,USA
Vietnam,2020-02-05,8,0,1,Asia,VNM
Australia,2020-02-06,14,0,2,Oceania,AUS
Belgium,2020-02-06,1,0,0,Europe,BEL
Cambodia,2020-02-06,1,0,0,Asia,KHM
Canada,2020-02-06,5,0,0,Americas,CAN
Finland,2020-02-06,1,0,0,Europe,FIN
France,2020-02-06,6,0,0,Europe,FRA
Germany,2020-02-06,12,0,0,Europe,DEU
Hong Kong SAR China,2020-02-06,24,1,0,Asia,HKG
India,2020-02-06,3,0,0,Asia,IND
Italy,2020-02-06,2,0,0,Europe,ITA
Japan,2020-02-06,45,0,1,Asia,JPN
Macao SAR China,2020-02-06,10,0,1,Asia,MAC
China,2020-02-06,30553,632,1476,Asia,CHN
Malaysia,2020-02-06,12,0,0,Asia,MYS
Nepal,2020-02-06,1,0,0,Asia,NPL
Philippines,2020-02-06,2,1,0,Asia,PHL
Russia,2020-02-06,2,0,0,Europe,RUS
Singapore,2020-02-06,28,0,0,Asia,SGP
South Korea,2020-02-06,23,0,0,Asia,KOR
Spain,2020-02-06,1,0,0,Europe,ESP
Sri Lanka,2020-02-06,1,0,0,Asia,LKA
Sweden,2020-02-06,1,0,0,Europe,SWE
Taiwan,2020-02-06,16,0,1,Asia,TWN
Thailand,2020-02-06,25,0,5,Asia,THA
United Kingdom,2020-02-06,2,0,0,Europe,GBR
United Arab Emirates,2020-02-06,5,0,0,Asia,ARE
United States,2020-02-06,12,0,0,Americas,USA
Vietnam,2020-02-06,10,0,1,Asia,VNM
Australia,2020-02-07,15,0,2,Oceania,AUS
