Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent
Sweden,2020-02-04,1,0,0,Europe
Taiwan,2020-02-04,11,0,0,Asia
Thailand,2020-02-04,25,0,5,Asia
United Kingdom,2020-02-04,2,0,0,Europe
United Arab Emirates,2020-02-04,5,0,0,Asia
US,2020-02-04,11,0,0,Americas
Vietnam,2020-02-04,8,0,1,Asia
Australia,2020-02-05,13,0,2,Oceania
Belgium,2020-02-05,1,0,0,Europe
Cambodia,2020-02-05,1,0,0,Asia
Canada,2020-02-05,5,0,0,Americas
Finland,2020-02-05,1,0,0,Europe
France,2020-02-05,6,0,0,Europe
Germany,2020-02-05,12,0,0,Europe
Hong Kong,2020-02-05,21,1,0,Asia
India,2020-02-05,3,0,0,Asia
Italy,2020-02-05,2,0,0,Europe
Japan,2020-02-05,22,0,1,Asia
Macau,2020-02-05,10,0,0,Asia
China,2020-02-05,27409,562,1115,Asia
Malaysia,2020-02-05,12,0,0,Asia
Nepal,2020-02-05,1,0,0,Asia
Philippines,2020-02-05,2,1,0,Asia
Russia,2020-02-05,2,0,0,Europe
Singapore,2020-02-05,28,0,0,Asia
South Korea,2020-02-05,19,0,0,Asia
Spain,2020-02-05,1,0,0,Europe
Sri Lanka,2020-02-05,1,0,0,Asia
Sweden,2020-02-05,1,0,0,Europe
Taiwan,2020-02-05,11,0,0,Asia
Thailand,2020-02-05,25,0,5,Asia
United Kingdom,2020-02-05,2,0,0,Europe
United Arab Emirates,2020-02-05,5,0,0,Asia
US,2020-02-05,12,0,0,Americas
Vietnam,2020-02-05,8,0,1,Asia
Australia,2020-02-06,14,0,2,Oceania
Belgium,2020-02-06,1,0,0,Europe
Cambodia,2020-02-06,1,0,0,Asia
Canada,2020-02-06,5,0,0,Americas
Finland,2020-02-06,1,0,0,Europe
France,2020-02-06,6,0,0,Europe
Germany,2020-02-06,12,0,0,Europe
Hong Kong,2020-02-06,24,1,0,Asia
India,2020-02-06,3,0,0,Asia
Italy,2020-02-06,2,0,0,Europe
Japan,2020-02-06,45,0,1,Asia
Macau,2020-02-06,10,0,1,Asia
China,2020-02-06,30553,632,1476,Asia
Malaysia,2020-02-06,12,0,0,Asia
Nepal,2020-02-06,1,0,0,Asia
Philippines,2020-02-06,2,1,0,Asia
Russia,2020-02-06,2,0,0,Europe
Singapore,2020-02-06,28,0,0,Asia
South Korea,2020-02-06,23,0,0,Asia
Spain,2020-02-06,1,0,0,Europe
Sri Lanka,2020-02-06,1,0,0,Asia
Sweden,2020-02-06,1,0,0,Europe
Taiwan,2020-02-06,16,0,1,Asia
Thailand,2020-02-06,25,0,5,Asia
United Kingdom,2020-02-06,2,0,0,Europe
United Arab Emirates,2020-02-06,5,0,0,Asia
US,2020-02-06,12,0,0,Americas
Vietnam,2020-02-06,10,0,1,Asia
Australia,2020-02-07,15,0,2,Oceania
Belgium,2020-02-07,1,0,0,Europe
Cambodia,2020-02-07,1,0,0,Asia
Canada,2020-02-07,7,0,0,Americas
Finland,2020-02-07,1,0,0,Europe
France,2020-02-07,6,0,0,Europe
Germany,2020-02-07,13,0,0,Europe
Hong Kong,2020-02-07,25,1,0,Asia
India,2020-02-07,3,0,0,Asia
Italy,2020-02-07,3,0,0,Europe
Japan,2020-02-07,25,0,1,Asia
Macau,2020-02-07,10,0,1,Asia
China,2020-02-07,34075,717,1998,Asia
Malaysia,2020-02-07,12,0,1,Asia
Nepal,2020-02-07,1,0,0,Asia
Others,2020-02-07,61,0,0,Outro
Philippines,2020-02-07,3,1,0,Asia
Russia,2020-02-07,2,0,0,Europe
Singapore,2020-02-07,30,0,0,Asia
South Korea,2020-02-07,24,0,1,Asia
Spain,2020-02-07,1,0,0,Europe
Sri Lanka,2020-02-07,1,0,0,Asia
Sweden,2020-02-07,1,0,0,Europe
Taiwan,2020-02-07,16,0,1,Asia
Thailand,2020-02-07,25,0,5,Asia
United Kingdom,2020-02-07,3,0,0,Europe
United Arab Emirates,2020-02-07,5,0,0,Asia
US,2020-02-07,12,0,0,Americas
Vietnam,2020-02-07,10,0,1,Asia
Australia,2020-02-08,15,0,2,Oceania
Belgium,2020-02-08,1,0,0,Europe
Cambodia,2020-02-08,1,0,0,Asia
Canada,2020-02-08,7,0,0,Americas
Finland,2020-02-08,1,0,0,Europe
France,2020-02-08,11,0,0,Europe
Germany,2020-02-08,13,0,0,Europe
Hong Kong,2020-02-08,26,1,0,Asia
India,2020-02-08,3,0,0,Asia
Italy,2020-02-08,3,0,0,Europe
Japan,2020-02-08,25,0,1,Asia
Macau,2020-02-08,10,0,1,Asia
China,2020-02-08,36778,804,2595,Asia
Malaysia,2020-02-08,16,0,1,Asia
Nepal,2020-02-08,1,0,0,Asia
Others,2020-02-08,61,0,0,Outro
Philippines,2020-02-08,3,1,0,Asia
Russia,2020-02-08,2,0,0,Europe
Singapore,2020-02-08,33,0,2,Asia
South Korea,2020-02-08,24,0,1,Asia
Spain,2020-02-08,1,0,0,Europe
Sri Lanka,2020-02-08,1,0,1,Asia
Sweden,2020-02-08,1,0,0,Europe
Taiwan,2020-02-08,17,0,1,Asia
Thailand,2020-02-08,32,0,10,Asia
United Kingdom,2020-02-08,3,0,0,Europe
United Arab Emirates,2020-02-08,7,0,0,Asia
US,2020-02-08,12,0,0,Americas
Vietnam,2020-02-08,13,0,1,Asia
Australia,2020-02-09,15,0,2,Oceania
Belgium,2020-02-09,1,0,0,Europe
Cambodia,2020-02-09,1,0,0,Asia
Canada,2020-02-09,7,0,0,Americas
Finland,2020-02-09,1,0,0,Europe
France,2020-02-09,11,0,0,Europe
Germany,2020-02-09,14,0,0,Europe
Hong Kong,2020-02-09,29,1,0,Asia
India,2020-02-09,3,0,0,Asia
Italy,2020-02-09,3,0,0,Europe
Japan,2020-02-09,26,0,1,Asia
Macau,2020-02-09,10,0,1,Asia
China,2020-02-09,39790,904,3218,Asia
Malaysia,2020-02-09,16,0,1,Asia
Nepal,2020-02-09,1,0,0,Asia
Others,2020-02-09,64,0,0,Outro
Philippines,2020-02-09,3,1,0,Asia
Russia,2020-02-09,2,0,0,Europe
Singapore,2020-02-09,40,0,2,Asia
