Country,DateRep,ConfirmedCases,Deaths,Recovered,Capital,Continent
United Arab Emirates,2020-02-08,7,0,0,Abu Dhabi,Asia
Vietnam,2020-02-08,13,0,1,Hanoi,Asia
Australia,2020-02-09,15,0,2,Canberra,Oceania
Belgium,2020-02-09,1,0,0,Brussels,Europe
Cambodia,2020-02-09,1,0,0,Phnom Penh,Asia
Canada,2020-02-09,7,0,0,Ottawa,America
Finland,2020-02-09,1,0,0,Helsinki,Europe
France,2020-02-09,11,0,0,Paris,Europe
Germany,2020-02-09,14,0,0,Berlin,Europe
India,2020-02-09,3,0,0,New Delhi,Asia
Italy,2020-02-09,3,0,0,Italian,Europe
Japan,2020-02-09,26,0,1,Tokyo,Asia
China,2020-02-09,39790,904,3218,Beijing,Asia
Malaysia,2020-02-09,16,0,1,Kuala Lumpur,Asia
Nepal,2020-02-09,1,0,0,Kathmandu,Asia
Philippines,2020-02-09,3,1,0,Manila,Asia
Russia,2020-02-09,2,0,0,Moscow,Europe
Singapore,2020-02-09,40,0,2,Singapore,Asia
South Korea,2020-02-09,25,0,3,Seoul,Asia
Spain,2020-02-09,2,0,0,Madrid,Europe
Sri Lanka,2020-02-09,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-09,1,0,0,Stockholm,Europe
Taiwan,2020-02-09,18,0,1,Taipei,Asia
Thailand,2020-02-09,32,0,10,Bangkok,Asia
United Kingdom,2020-02-09,3,0,0,London,Europe
United Arab Emirates,2020-02-09,7,0,0,Abu Dhabi,Asia
Vietnam,2020-02-09,13,0,1,Hanoi,Asia
Australia,2020-02-10,15,0,2,Canberra,Oceania
Belgium,2020-02-10,1,0,0,Brussels,Europe
Cambodia,2020-02-10,1,0,0,Phnom Penh,Asia
Canada,2020-02-10,7,0,0,Ottawa,America
Finland,2020-02-10,1,0,0,Helsinki,Europe
France,2020-02-10,11,0,0,Paris,Europe
Germany,2020-02-10,14,0,0,Berlin,Europe
India,2020-02-10,3,0,0,New Delhi,Asia
Italy,2020-02-10,3,0,0,Italian,Europe
Japan,2020-02-10,26,0,4,Tokyo,Asia
China,2020-02-10,42306,1011,3917,Beijing,Asia
Malaysia,2020-02-10,18,0,1,Kuala Lumpur,Asia
Nepal,2020-02-10,1,0,0,Kathmandu,Asia
Philippines,2020-02-10,3,1,0,Manila,Asia
Russia,2020-02-10,2,0,0,Moscow,Europe
Singapore,2020-02-10,45,0,2,Singapore,Asia
South Korea,2020-02-10,27,0,3,Seoul,Asia
Spain,2020-02-10,2,0,0,Madrid,Europe
Sri Lanka,2020-02-10,1,0,1,Sri Jayawardenapura Kotte,Asia
Sweden,2020-02-10,1,0,0,Stockholm,Europe
Taiwan,2020-02-10,18,0,1,Taipei,Asia
Thailand,2020-02-10,32,0,10,Bangkok,Asia
United Kingdom,2020-02-10,8,0,0,London,Europe
United Arab Emirates,2020-02-10,8,0,0,Abu Dhabi,Asia
Vietnam,2020-02-10,14,0,1,Hanoi,Asia
Australia,2020-02-11,15,0,2,Canberra,Oceania
Belgium,2020-02-11,1,0,0,Brussels,Europe
Cambodia,2020-02-11,1,0,0,Phnom Penh,Asia
Canada,2020-02-11,7,0,0,Ottawa,America
Finland,2020-02-11,1,0,0,Helsinki,Europe
France,2020-02-11,11,0,0,Paris,Europe
Germany,2020-02-11,16,0,0,Berlin,Europe
India,2020-02-11,3,0,0,New Delhi,Asia
Italy,2020-02-11,3,0,0,Italian,Europe
Japan,2020-02-11,26,0,9,Tokyo,Asia
China,2020-02-11,44327,1111,4635,Beijing,Asia
Malaysia,2020-02-11,18,0,3,Kuala Lumpur,Asia
