date,country,week,cases,deaths,recovered,monitoring
2020-06-27,Brasil,26,1313667,57070,715905.0,540692.0
2020-06-28,Brasil,27,1344143,57622,733848.0,552673.0
2020-06-29,Brasil,27,1368195,58314,757462.0,552419.0
2020-06-30,Brasil,27,1402041,59594,790040.0,552407.0
2020-07-01,Brasil,27,1448753,60632,826866.0,561255.0
2020-07-02,Brasil,27,1496858,61884,852816.0,582158.0
2020-07-03,Brasil,27,1539081,63174,868372.0,607535.0
2020-07-04,Brasil,27,1577004,64265,876359.0,636380.0
2020-07-05,Brasil,28,1603055,64867,906286.0,631902.0
2020-07-06,Brasil,28,1623284,65487,927292.0,630505.0
2020-07-07,Brasil,28,1668589,66741,976977.0,624871.0
2020-07-08,Brasil,28,1713160,67964,1020901.0,624295.0
2020-07-09,Brasil,28,1755779,69184,1054043.0,632552.0
2020-07-10,Brasil,28,1800827,70398,1078763.0,651666.0
2020-07-11,Brasil,28,1839850,71469,1100873.0,667508.0
2020-07-12,Brasil,29,1864681,72100,1123204.0,669377.0
2020-07-13,Brasil,29,1884967,72833,1154837.0,657297.0
2020-07-14,Brasil,29,1926824,74133,1209208.0,643483.0
2020-07-15,Brasil,29,1966748,75366,1255564.0,635818.0
2020-07-16,Brasil,29,2012151,76688,1296328.0,639135.0
2020-07-17,Brasil,29,2046328,77851,1321036.0,647441.0
2020-07-18,Brasil,29,2074860,78772,1342362.0,653726.0
2020-07-19,Brasil,30,2098389,79488,1371229.0,647672.0
2020-07-20,Brasil,30,2118646,80120,1409202.0,629324.0
2020-07-21,Brasil,30,2159654,81487,1465970.0,612197.0
2020-07-22,Brasil,30,2227514,82771,1532138.0,612605.0
2020-07-23,Brasil,30,2287475,84082,1570237.0,633156.0
2020-07-24,Brasil,30,2343366,85238,1592281.0,665847.0
2020-07-25,Brasil,30,2394513,86449,1617480.0,690584.0
2020-07-26,Brasil,31,2419091,87004,1634274.0,697813.0
2020-07-27,Brasil,31,2442375,87618,1667667.0,687090.0
2020-07-28,Brasil,31,2483191,88539,1721560.0,673092.0
2020-07-29,Brasil,31,2552265,90134,1786753.0,675378.0
2020-07-30,Brasil,31,2610102,91263,1824095.0,694744.0
2020-07-31,Brasil,31,2662485,92475,1844051.0,725959.0
2020-08-01,Brasil,31,2707877,93563,1865729.0,748585.0
2020-08-02,Brasil,32,2733677,94104,1883677.0,755896.0
2020-08-03,Brasil,32,2750318,94665,1912319.0,743334.0
2020-08-04,Brasil,32,2801921,95819,1970767.0,735335.0
2020-08-05,Brasil,32,2857597,97240,2020637.0,741180.0
2020-08-06,Brasil,32,2912212,98493,2080916.0,781954.0
2020-08-07,Brasil,32,2962442,99572,2068394.0,794476.0
2020-08-08,Brasil,32,3012412,100477,2094293.0,817642.0
2020-08-09,Brasil,33,3035422,101049,2118460.0,815913.0
2020-08-10,Brasil,33,3057470,101752,2163812.0,791906.0
2020-08-11,Brasil,33,3109630,103026,2243124.0,763480.0
2020-08-12,Brasil,33,3164785,104201,2309477.0,751107.0
2020-08-13,Brasil,33,3224876,105463,2356640.0,762773.0
2020-08-14,Brasil,33,3275520,106523,2384302.0,784695.0
2020-08-15,Brasil,33,3317096,107232,2404272.0,805592.0
2020-08-16,Brasil,34,3340197,107852,2432456.0,799889.0
2020-08-17,Brasil,34,3359570,108536,2478494.0,772540.0
2020-08-18,Brasil,34,3407354,109888,2554179.0,743287.0
2020-08-19,Brasil,34,3456652,111100,2615254.0,730298.0
2020-08-20,Brasil,34,3501975,112304,2653407.0,736264.0
2020-08-21,Brasil,34,3532330,113358,2670755.0,748217.0
2020-08-22,Brasil,34,3582362,114250,2709638.0,758474.0
2020-08-23,Brasil,35,3605783,114744,2739035.0,752004.0
2020-08-24,Brasil,35,3622861,115309,2778709.0,728843.0
2020-08-25,Brasil,35,3669995,116580,2848395.0,705020.0
2020-08-26,Brasil,35,3717156,117665,2908848.0,690642.0
2020-08-27,Brasil,35,3761391,118649,2947250.0,695492.0
2020-08-28,Brasil,35,3804803,119504,2976796.0,708503.0
2020-08-29,Brasil,35,3846153,120462,3006679.0,719012.0
2020-08-30,Brasil,36,3862311,120828,3031626.0,709857.0
2020-08-31,Brasil,36,3908272,121381,3097734.0,689157.0
2020-09-01,Brasil,36,3950931,122596,3159096.0,669239.0
2020-09-02,Brasil,36,3997865,123780,3210405.0,663680.0
2020-09-03,Brasil,36,4041638,124614,3247610.0,669414.0
2020-09-04,Brasil,36,4092832,125521,3278918.0,688393.0
2020-09-05,Brasil,36,4123000,126203,3296702.0,700095.0
2020-09-06,Brasil,37,4137521,126650,3317227.0,693644.0
2020-09-07,Brasil,37,4147794,126960,3355564.0,665270.0
2020-09-08,Brasil,37,4162073,127464,3397234.0,637375.0
2020-09-09,Brasil,37,4197889,128539,3453336.0,616014.0
2020-09-10,Brasil,37,4238446,129522,3497337.0,611587.0
2020-09-11,Brasil,37,4282164,130396,3530655.0,621113.0
2020-09-12,Brasil,37,4315687,131210,3553421.0,631056.0
2020-09-13,Brasil,38,4330455,131625,3573958.0,624872.0
2020-09-14,Brasil,38,4345610,132006,3613184.0,600420.0
2020-09-15,Brasil,38,4382263,133119,3671128.0,578016.0
2020-09-16,Brasil,38,4419083,134106,3720312.0,564665.0
2020-09-17,Brasil,38,4455386,134935,3753082.0,567369.0
2020-09-18,Brasil,38,4495183,135793,3789139.0,570251.0
2020-09-19,Brasil,38,4528240,136532,3820095.0,571613.0
2020-09-20,Brasil,39,4544629,136895,3851227.0,556507.0
2020-09-21,Brasil,39,4558068,137272,3887199.0,533597.0
2020-09-22,Brasil,39,4591604,138108,3945627.0,507869.0
2020-09-23,Brasil,39,4624885,138977,3992886.0,493022.0
2020-09-24,Brasil,39,4657702,139808,4023789.0,494105.0
2020-09-25,Brasil,39,4689613,140537,4040949.0,508127.0
2020-09-26,Brasil,39,4717991,141406,4050837.0,525748.0
2020-09-27,Brasil,40,4732309,141741,4060088.0,530480.0
2020-09-28,Brasil,40,4745464,142058,4084182.0,519224.0
2020-09-29,Brasil,40,4777522,142921,4135088.0,499513.0
2020-09-30,Brasil,40,4810935,143952,4180376.0,486607.0
2020-10-01,Brasil,40,4847092,144680,4212772.0,489640.0
2020-10-02,Brasil,40,4880523,145388,4232593.0,502542.0
2020-10-03,Brasil,40,4906833,145987,4248574.0,512272.0
2020-10-04,Brasil,41,4915289,146352,4263208.0,505729.0
2020-10-05,Brasil,41,4927235,146675,4295302.0,485258.0
2020-10-06,Brasil,41,4969141,147494,4352871.0,468776.0
2020-10-07,Brasil,41,5000694,148228,4391424.0,461042.0
